Date,log_ret,Index
18/01/2019,0.017597097,605
22/01/2019,-0.021781751,606
23/01/2019,-0.006046286,607
24/01/2019,0.000263644,608
25/01/2019,0.016859839,609
28/01/2019,-0.004285999,610
29/01/2019,0.002924264,611
30/01/2019,0.03894365,612
31/01/2019,0.026664962,613
01/02/2019,0.008290767,614
04/02/2019,0.008103042,615
05/02/2019,0.029858238,616
06/02/2019,0.002915386,617
07/02/2019,-0.01464624,618
08/02/2019,-0.01133558,619
11/02/2019,0.004916052,620
12/02/2019,0.00265526,621
13/02/2019,0.001295566,622
14/02/2019,-0.003183027,623
15/02/2019,0.002182055,624
19/02/2019,-0.001532838,625
20/02/2019,0.008811147,626
21/02/2019,-0.004043488,627
22/02/2019,0.006321726,628
25/02/2019,0.014884588,629
26/02/2019,-0.004475652,630
27/02/2019,-0.002562568,631
28/02/2019,0.001099378,632
01/03/2019,-0.000173506,633
04/03/2019,0.006227316,634
05/03/2019,0.003271071,635
06/03/2019,-0.00344353,636
07/03/2019,-0.011099663,637
08/03/2019,-0.014757822,638
11/03/2019,0.03393105,639
12/03/2019,0.022666735,640
13/03/2019,0.008604233,641
14/03/2019,0.009023942,642
15/03/2019,0.006442829,643
18/03/2019,0.011095289,644
19/03/2019,0.00069947,645
20/03/2019,-0.006421174,646
21/03/2019,0.027128272,647
22/03/2019,0.00509736,648
25/03/2019,-0.022153643,649
26/03/2019,-0.010884315,650
27/03/2019,0.010616326,651
28/03/2019,0.005239533,652
29/03/2019,0.005371353,653
01/04/2019,-0.000848987,654
02/04/2019,0.014073974,655
03/04/2019,0.010931915,656
04/04/2019,-5.18E-05,657
05/04/2019,0.014342138,658
08/04/2019,0.002090398,659
09/04/2019,0.014612086,660
10/04/2019,-0.005284228,661
11/04/2019,0.001327204,662
12/04/2019,-0.011317399,663
15/04/2019,0.00913202,664
16/04/2019,0.002773787,665
17/04/2019,0.000251781,666
18/04/2019,0.019495544,667
22/04/2019,-0.000889196,668
23/04/2019,0.007680227,669
24/04/2019,0.015330632,670
25/04/2019,-0.009365136,671
26/04/2019,-0.014733593,672
29/04/2019,0.008571903,673
30/04/2019,-0.023576048,674
01/05/2019,0.04957669,675
02/05/2019,-0.005271241,676
03/05/2019,0.010039285,677
06/05/2019,-0.032536165,678
07/05/2019,-0.013233119,679
08/05/2019,0.004596421,680
09/05/2019,-0.025552958,681
10/05/2019,-0.019978581,682
13/05/2019,-0.052831624,683
14/05/2019,0.013903445,684
15/05/2019,0.003284606,685
16/05/2019,0.015045901,686
17/05/2019,-0.011075726,687
20/05/2019,-0.035290985,688
21/05/2019,0.024199502,689
22/05/2019,-0.011708779,690
23/05/2019,-0.026308544,691
24/05/2019,0.00454508,692
28/05/2019,-0.00398284,693
29/05/2019,-0.010793809,694
30/05/2019,0.003799591,695
31/05/2019,-0.009554756,696
03/06/2019,-0.027343417,697
04/06/2019,0.024653936,698
05/06/2019,0.037230865,699
06/06/2019,0.005553723,700
07/06/2019,0.019685414,701
10/06/2019,0.031004895,702
11/06/2019,0.010279931,703
12/06/2019,-0.001112189,704
13/06/2019,0.001112189,705
14/06/2019,-0.017192401,706
17/06/2019,0.009778623,707
18/06/2019,0.015695505,708
19/06/2019,0.010700194,709
20/06/2019,0.003642438,710
21/06/2019,0.000605785,711
24/06/2019,0.000100929,712
25/06/2019,-0.014639615,713
26/06/2019,0.010493169,714
27/06/2019,0.01118625,715
28/06/2019,-0.012707548,716
01/07/2019,0.018104593,717
02/07/2019,0.003532254,718
03/07/2019,0.006583367,719
05/07/2019,0.001035529,720
08/07/2019,-0.02237765,721
09/07/2019,0.002013998,722
10/07/2019,0.013737509,723
11/07/2019,0.000743919,724
12/07/2019,0.002426284,725
15/07/2019,0.008862687,726
16/07/2019,-0.002453989,727
17/07/2019,-0.00113086,728
18/07/2019,0.002113179,729
19/07/2019,-0.006600034,730
22/07/2019,0.00615811,731
23/07/2019,0.01791238,732
24/07/2019,-0.000579067,733
25/07/2019,-0.002126118,734
26/07/2019,0.001981299,735
29/07/2019,0.006256337,736
30/07/2019,-0.005435972,737
31/07/2019,0.019063667,738
01/08/2019,-0.021799546,739
02/08/2019,-0.025045044,740
05/08/2019,-0.045922683,741
06/08/2019,0.007552672,742
07/08/2019,-0.00113443,743
08/08/2019,0.028332813,744
09/08/2019,-0.000501655,745
12/08/2019,-0.000702741,746
13/08/2019,0.008400469,747
14/08/2019,0.008709658,748
15/08/2019,-0.014502433,749
16/08/2019,0.020669369,750
19/08/2019,0.029892151,751
20/08/2019,0.001402657,752
21/08/2019,0.006082642,753
22/08/2019,-0.004040226,754
